StartTimeUnixNano,EndTimeUnixNano,Duration,TraceID,SpanID,ParentID,PodName,OperationName
1674981799932000000,1674981800111791178,179791,t3,s941,s0,ts-gateway-service,/*
1674981799933130988,1674981800111472588,178341,t3,s1920,s941,ts-gateway-service,FilteringWebHandler.handle
1674981799934514170,1674981800111763737,177249,t3,s19,s941,ts-gateway-service,HTTP POST
1674981799937000000,1674981800109464355,172464,t3,s1215,s19,ts-travel-service,/api/v1/travelservice/trips/left
1674981799938021354,1674981800109007077,170985,t3,s1455,s1215,ts-travel-service,TravelController.queryInfo
1674981799938668371,1674981799941408908,2740,t3,s796,s1455,ts-travel-service,TripRepository.findAll
1674981799939760031,1674981799940567329,807,t3,s586,s796,ts-travel-service,SELECT Trip
1674981799940594048,1674981799941133881,539,t3,s730,s796,ts-travel-service,Transaction.commit
1674981799939867263,1674981799940340647,473,t3,s2555,s586,ts-travel-service,SELECT ts.trip
1674981799942364954,1674981800021509457,79144,t3,s331,s1455,ts-travel-service,HTTP POST
1674981800022768030,1674981800083882854,61114,t3,s80,s1455,ts-travel-service,HTTP POST
1674981800084866692,1674981800107666203,22799,t3,s96,s1455,ts-travel-service,HTTP POST
1674981799947000000,1674981800020749940,73749,t3,s2343,s331,ts-basic-service,/api/v1/basicservice/basic/travels
1674981799947567470,1674981800020531445,72963,t3,s279,s2343,ts-basic-service,BasicController.queryForTravels
1674981799952571698,1674981799964503753,11932,t3,s1002,s279,ts-basic-service,HTTP POST
1674981799965287697,1674981799976149137,10861,t3,s447,s279,ts-basic-service,HTTP POST
1674981799979005233,1674981800002698398,23693,t3,s129,s279,ts-basic-service,HTTP POST
1674981800006398817,1674981800017435299,11036,t3,s2327,s279,ts-basic-service,HTTP POST
1674981799955000000,1674981799964231407,9231,t3,s745,s1002,ts-station-service,/api/v1/stationservice/stations/idlist
1674981799955707349,1674981799963917413,8210,t3,s157,s745,ts-station-service,StationController.queryForIdBatch
1674981799956532215,1674981799963491241,6959,t3,s1243,s157,ts-station-service,StationRepository.findByNames
1674981799956706823,1674981799963460676,6753,t3,s484,s1243,ts-station-service,SELECT station
1674981799960018134,1674981799963289568,3271,t3,s712,s484,ts-station-service,SELECT ts.station
1674981799967000000,1674981799974324318,7324,t3,s518,s447,ts-train-service,/api/v1/trainservice/trains/byNames
1674981799968185653,1674981799973612053,5426,t3,s1942,s518,ts-train-service,TrainController.retrieveByName
1674981799969569889,1674981799972531448,2961,t3,s2228,s1942,ts-train-service,TrainTypeRepository.findByNames
1674981799969872192,1674981799972470734,2598,t3,s815,s2228,ts-train-service,SELECT train_type
1674981799971366154,1674981799972245164,879,t3,s251,s815,ts-train-service,SELECT ts.train_type
1674981799981000000,1674981800000033080,19033,t3,s1903,s129,ts-route-service,/api/v1/routeservice/routes/byIds/
1674981799982375260,1674981799999309456,16934,t3,s1662,s1903,ts-route-service,RouteController.queryByIds
1674981799984056113,1674981799988111287,4055,t3,s194,s1662,ts-route-service,RouteRepository.findByIds
1674981799984522637,1674981799988064993,3542,t3,s915,s194,ts-route-service,SELECT route
1674981799986804469,1674981799987750578,946,t3,s1879,s915,ts-route-service,SELECT ts.route
1674981799989107105,1674981799990148158,1041,t3,s1390,s1662,ts-route-service,SELECT ts.route_stations
1674981799990442450,1674981799991300374,857,t3,s2321,s1662,ts-route-service,SELECT ts.route_distances
1674981799991497166,1674981799992321107,823,t3,s430,s1662,ts-route-service,SELECT ts.route_stations
1674981799992505704,1674981799993239551,733,t3,s187,s1662,ts-route-service,SELECT ts.route_distances
1674981799993358979,1674981799994075763,716,t3,s876,s1662,ts-route-service,SELECT ts.route_stations
1674981799994175527,1674981799994974971,799,t3,s2598,s1662,ts-route-service,SELECT ts.route_distances
1674981799995068481,1674981799995900536,832,t3,s1560,s1662,ts-route-service,SELECT ts.route_stations
1674981799996013872,1674981799997026380,1012,t3,s2559,s1662,ts-route-service,SELECT ts.route_distances
1674981799997125262,1674981799997846446,721,t3,s1410,s1662,ts-route-service,SELECT ts.route_stations
1674981799998011563,1674981799998931278,919,t3,s169,s1662,ts-route-service,SELECT ts.route_distances
1674981800008000000,1674981800015150701,7150,t3,s769,s2327,ts-price-service,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes
1674981800009163023,1674981800014432108,5269,t3,s1140,s769,ts-price-service,PriceController.query
1674981800010646967,1674981800013583002,2936,t3,s2024,s1140,ts-price-service,PriceConfigRepository.findByRouteIdsAndTrainTypes
1674981800010960858,1674981800013528163,2567,t3,s2311,s2024,ts-price-service,SELECT price_config
1674981800012268612,1674981800013182369,913,t3,s2378,s2311,ts-price-service,SELECT ts.price_config
1674981800026000000,1674981800083213439,57213,t3,s858,s80,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674981800027444038,1674981800082815512,55371,t3,s914,s858,ts-seat-service,SeatController.getLeftTicketOfInterval
1674981800030190675,1674981800069436486,39245,t3,s1374,s914,ts-seat-service,HTTP POST
1674981800073309075,1674981800081242632,7933,t3,s985,s914,ts-seat-service,HTTP GET
1674981800034000000,1674981800044055294,10055,t3,s2464,s1374,ts-order-service,/api/v1/orderservice/order/tickets
1674981800092000000,1674981800098079739,6079,t3,s415,s2256,ts-order-service,/api/v1/orderservice/order/tickets
1674981800034582783,1674981800043246022,8663,t3,s64,s2464,ts-order-service,OrderController.getTicketListByDateAndTripId
1674981800092536265,1674981800097897143,5360,t3,s306,s415,ts-order-service,OrderController.getTicketListByDateAndTripId
1674981800035708519,1674981800041742029,6033,t3,s900,s64,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674981800094259671,1674981800097361457,3101,t3,s1950,s306,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674981800035815491,1674981800041718716,5903,t3,s595,s900,ts-order-service,SELECT Order
1674981800094356158,1674981800097339299,2983,t3,s1111,s1950,ts-order-service,SELECT Order
1674981800038737663,1674981800041665353,2927,t3,s2575,s595,ts-order-service,SELECT ts.orders
1674981800094459812,1674981800097308112,2848,t3,s669,s1111,ts-order-service,SELECT ts.orders
1674981800076000000,1674981800078889231,2889,t3,s1273,s985,ts-config-service,/api/v1/configservice/configs/{configName}
1674981800103000000,1674981800104732953,1732,t3,s2270,s2261,ts-config-service,/api/v1/configservice/configs/{configName}
1674981800076588908,1674981800078695668,2106,t3,s2041,s1273,ts-config-service,ConfigController.retrieve
1674981800103332197,1674981800104599049,1266,t3,s952,s2270,ts-config-service,ConfigController.retrieve
1674981800077031960,1674981800078201520,1169,t3,s2294,s2041,ts-config-service,ConfigRepository.findByName
1674981800103597289,1674981800104218462,621,t3,s2518,s952,ts-config-service,ConfigRepository.findByName
1674981800077141497,1674981800078192880,1051,t3,s1725,s2294,ts-config-service,SELECT Config
1674981800103665444,1674981800104212594,547,t3,s482,s2518,ts-config-service,SELECT Config
1674981800077719081,1674981800078094656,375,t3,s1719,s1725,ts-config-service,SELECT ts.config
1674981800103755369,1674981800104156749,401,t3,s116,s482,ts-config-service,SELECT ts.config
1674981800086000000,1674981800106878306,20878,t3,s1407,s96,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674981800086836643,1674981800106582251,19745,t3,s1351,s1407,ts-seat-service,SeatController.getLeftTicketOfInterval
1674981800088824165,1674981800099189892,10365,t3,s2256,s1351,ts-seat-service,HTTP POST
1674981800101409579,1674981800105360829,3951,t3,s2261,s1351,ts-seat-service,HTTP GET
1674981796786000000,1674981799163952036,2377952,t10,s558,s0,ts-gateway-service,/*
1674981796786781393,1674981799163699142,2376917,t10,s1941,s558,ts-gateway-service,FilteringWebHandler.handle
1674981796787783082,1674981799163940614,2376157,t10,s2306,s558,ts-gateway-service,HTTP POST
1674981796790000000,1674981799162387984,2372387,t10,s1326,s2306,ts-preserve-service,/api/v1/preserveservice/preserve
1674981796792139563,1674981799161725102,2369585,t10,s1231,s1326,ts-preserve-service,PreserveController.preserve
1674981796793668856,1674981797103423781,309754,t10,s1729,s1231,ts-preserve-service,HTTP GET
1674981797104925971,1674981797122265651,17339,t10,s1534,s1231,ts-preserve-service,HTTP GET
1674981797124211569,1674981797884661105,760449,t10,s1874,s1231,ts-preserve-service,HTTP POST
1674981797886065404,1674981798172633504,286568,t10,s2329,s1231,ts-preserve-service,HTTP POST
1674981798173844787,1674981798766758453,592913,t10,s2214,s1231,ts-preserve-service,HTTP POST
1674981798768488360,1674981799113317280,344828,t10,s395,s1231,ts-preserve-service,HTTP POST
1674981799114484539,1674981799133751095,19266,t10,s2618,s1231,ts-preserve-service,HTTP GET
1674981799135544563,1674981799160443934,24899,t10,s1564,s1231,ts-preserve-service,HTTP GET
1674981796797000000,1674981797104214548,307214,t10,s2211,s1729,ts-security-service,/api/v1/securityservice/securityConfigs/{accountId}
1674981796799076062,1674981797103373913,304297,t10,s597,s2211,ts-security-service,SecurityController.check
1674981796800268319,1674981797089634067,289365,t10,s1432,s597,ts-security-service,HTTP GET
1674981797090969275,1674981797098930838,7961,t10,s18,s597,ts-security-service,HTTP GET
1674981797017000000,1674981797089050690,72050,t10,s1821,s1432,ts-order-service,/api/v1/orderservice/order/security/{checkDate}/{accountId}
1674981797238000000,1674981797286879811,48879,t10,s257,s1525,ts-order-service,/api/v1/orderservice/order/tickets
1674981797546000000,1674981797832241912,286241,t10,s2020,s1395,ts-order-service,/api/v1/orderservice/order/tickets
1674981798406000000,1674981798486472155,80472,t10,s358,s1759,ts-order-service,/api/v1/orderservice/order/tickets
1674981799017000000,1674981799113203089,96203,t10,s1819,s395,ts-order-service,/api/v1/orderservice/order
1674981797017642323,1674981797088845781,71203,t10,s1791,s1821,ts-order-service,OrderController.securityInfoCheck
1674981797238657887,1674981797286653220,47995,t10,s1279,s257,ts-order-service,OrderController.getTicketListByDateAndTripId
1674981797546487270,1674981797832001425,285514,t10,s2274,s2020,ts-order-service,OrderController.getTicketListByDateAndTripId
1674981798407179021,1674981798486218171,79039,t10,s907,s358,ts-order-service,OrderController.getTicketListByDateAndTripId
1674981799017958794,1674981799112794260,94835,t10,s1518,s1819,ts-order-service,OrderController.createNewOrder
1674981797018170554,1674981797088198245,70027,t10,s344,s1791,ts-order-service,OrderRepository.findByAccountId
1674981797239286877,1674981797278701987,39415,t10,s904,s1279,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674981797548308314,1674981797831094295,282785,t10,s2411,s2274,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674981798407883951,1674981798485263025,77379,t10,s2502,s907,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674981799018805836,1674981799092998918,74193,t10,s801,s1518,ts-order-service,OrderRepository.findByAccountId
1674981799093052897,1674981799112167729,19114,t10,s1779,s1518,ts-order-service,OrderRepository.save
1674981797018267182,1674981797088174261,69907,t10,s2605,s344,ts-order-service,SELECT Order
1674981797239381112,1674981797278671046,39289,t10,s1066,s904,ts-order-service,SELECT Order
1674981797548396045,1674981797831064344,282668,t10,s424,s2411,ts-order-service,SELECT Order
1674981798407979249,1674981798485233327,77254,t10,s2310,s2502,ts-order-service,SELECT Order
1674981799018897618,1674981799092974657,74077,t10,s1089,s801,ts-order-service,SELECT Order
1674981799096457726,1674981799100647381,4189,t10,s1789,s1779,ts-order-service,Session.merge order.entity.Order
1674981799100693407,1674981799112152723,11459,t10,s1346,s1779,ts-order-service,Transaction.commit
1674981797018375642,1674981797086795413,68419,t10,s1460,s2605,ts-order-service,SELECT ts.orders
1674981797239516690,1674981797277153018,37636,t10,s886,s1066,ts-order-service,SELECT ts.orders
1674981797548501429,1674981797829706463,281205,t10,s2045,s424,ts-order-service,SELECT ts.orders
1674981798413303462,1674981798483810596,70507,t10,s1745,s2310,ts-order-service,SELECT ts.orders
1674981799022519132,1674981799090551690,68032,t10,s290,s1089,ts-order-service,SELECT ts.orders
1674981799096623405,1674981799099659376,3035,t10,s836,s1789,ts-order-service,SELECT ts.orders
1674981799101610724,1674981799106205520,4594,t10,s1930,s1346,ts-order-service,INSERT ts.orders
1674981797094000000,1674981797098898062,4898,t10,s55,s18,ts-order-other-service,/api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId}
1674981797094646426,1674981797098653497,4007,t10,s2519,s55,ts-order-other-service,OrderOtherController.securityInfoCheck
1674981797095156068,1674981797098164600,3008,t10,s1043,s2519,ts-order-other-service,OrderOtherRepository.findByAccountId
1674981797095278936,1674981797098146096,2867,t10,s1144,s1043,ts-order-other-service,SELECT Order
1674981797095887718,1674981797097238007,1350,t10,s221,s1144,ts-order-other-service,SELECT ts.orders_other
1674981797099434768,1674981797101241742,1806,t10,s813,s597,ts-security-service,SecurityRepository.findByName
1674981797101275519,1674981797102174018,898,t10,s128,s597,ts-security-service,SecurityRepository.findByName
1674981797099704633,1674981797101224165,1519,t10,s1081,s813,ts-security-service,SELECT SecurityConfig
1674981797101438507,1674981797102165217,726,t10,s394,s128,ts-security-service,SELECT SecurityConfig
1674981797100424478,1674981797100923041,498,t10,s1657,s1081,ts-security-service,SELECT ts.security_config
1674981797101558459,1674981797101950896,392,t10,s1224,s394,ts-security-service,SELECT ts.security_config
1674981797109000000,1674981797122751488,13751,t10,s1956,s1534,ts-contacts-service,/api/v1/contactservice/contacts/{id}
1674981797111654629,1674981797121602420,9947,t10,s799,s1956,ts-contacts-service,ContactsController.getContactsByContactsId
1674981797113569079,1674981797119963916,6394,t10,s2276,s799,ts-contacts-service,ContactsRepository.findById
1674981797115525775,1674981797117818327,2292,t10,s1545,s2276,ts-contacts-service,Session.find contacts.entity.Contacts
1674981797117940800,1674981797119321182,1380,t10,s2319,s2276,ts-contacts-service,Transaction.commit
1674981797115959349,1674981797117030239,1070,t10,s410,s1545,ts-contacts-service,SELECT ts.contacts
1674981797127000000,1674981797884795616,757795,t10,s240,s1874,ts-travel-service,/api/v1/travelservice/trip_detail
1674981797127982977,1674981797884325337,756342,t10,s757,s240,ts-travel-service,TravelController.getTripAllDetailInfo
1674981797128608523,1674981797129613083,1004,t10,s1718,s757,ts-travel-service,TripRepository.findByTripId
1674981797882906721,1674981797883936521,1029,t10,s1096,s757,ts-travel-service,TripRepository.findByTripId
1674981797128818415,1674981797129600688,782,t10,s529,s1718,ts-travel-service,SELECT Trip
1674981797883123241,1674981797883924012,800,t10,s2130,s1096,ts-travel-service,SELECT Trip
1674981797128989819,1674981797129469533,479,t10,s371,s529,ts-travel-service,SELECT ts.trip
1674981797883288097,1674981797883802670,514,t10,s2163,s2130,ts-travel-service,SELECT ts.trip
1674981797130449517,1674981797203048351,72598,t10,s340,s757,ts-travel-service,HTTP POST
1674981797205036564,1674981797536264663,331228,t10,s2438,s757,ts-travel-service,HTTP POST
1674981797537272271,1674981797881985269,344712,t10,s360,s757,ts-travel-service,HTTP POST
1674981797134000000,1674981797201239791,67239,t10,s1072,s340,ts-basic-service,/api/v1/basicservice/basic/travel
1674981797897000000,1674981798172060103,275060,t10,s1262,s2329,ts-basic-service,/api/v1/basicservice/basic/travel
1674981797134528541,1674981797201000380,66471,t10,s2445,s1072,ts-basic-service,BasicController.queryForTravel
1674981797898258890,1674981798171615645,273356,t10,s2086,s1262,ts-basic-service,BasicController.queryForTravel
1674981797137017190,1674981797147876065,10858,t10,s539,s2445,ts-basic-service,HTTP GET
1674981797148538755,1674981797153842922,5304,t10,s1036,s2445,ts-basic-service,HTTP GET
1674981797154475534,1674981797164756018,10280,t10,s1023,s2445,ts-basic-service,HTTP GET
1674981797167677451,1674981797182810262,15132,t10,s9,s2445,ts-basic-service,HTTP GET
1674981797186426319,1674981797198917187,12490,t10,s130,s2445,ts-basic-service,HTTP GET
1674981797900333219,1674981797909341585,9008,t10,s372,s2086,ts-basic-service,HTTP GET
1674981797909949653,1674981797915677985,5728,t10,s2060,s2086,ts-basic-service,HTTP GET
1674981797916305307,1674981797926536997,10231,t10,s764,s2086,ts-basic-service,HTTP GET
1674981798135992330,1674981798151259975,15267,t10,s1001,s2086,ts-basic-service,HTTP GET
1674981798155188341,1674981798167630747,12442,t10,s2364,s2086,ts-basic-service,HTTP GET
1674981797138000000,1674981797147444469,9444,t10,s971,s539,ts-station-service,/api/v1/stationservice/stations/id/{stationNameForId}
1674981797149000000,1674981797153502800,4502,t10,s980,s1036,ts-station-service,/api/v1/stationservice/stations/id/{stationNameForId}
1674981797139363233,1674981797147211237,7848,t10,s633,s971,ts-station-service,StationController.queryForStationId
1674981797149504585,1674981797153321793,3817,t10,s1077,s980,ts-station-service,StationController.queryForStationId
1674981797140476365,1674981797146930652,6454,t10,s204,s633,ts-station-service,StationRepository.findByName
1674981797149894165,1674981797153089376,3195,t10,s1867,s1077,ts-station-service,StationRepository.findByName
1674981797140716377,1674981797146921557,6205,t10,s1341,s204,ts-station-service,SELECT Station
1674981797149990634,1674981797153064238,3073,t10,s1689,s1867,ts-station-service,SELECT Station
1674981797143881853,1674981797146798520,2916,t10,s2057,s1341,ts-station-service,SELECT ts.station
1674981797150086012,1674981797152952683,2866,t10,s258,s1689,ts-station-service,SELECT ts.station
1674981797156000000,1674981797162484565,6484,t10,s1031,s1023,ts-train-service,/api/v1/trainservice/trains/byName/{name}
1674981797157373935,1674981797161936596,4562,t10,s1862,s1031,ts-train-service,TrainController.retrieveByName
1674981797158393370,1674981797161346230,2952,t10,s178,s1862,ts-train-service,TrainTypeRepository.findByName
1674981797159080177,1674981797161325694,2245,t10,s1323,s178,ts-train-service,SELECT TrainType
1674981797160279746,1674981797161121882,842,t10,s1094,s1323,ts-train-service,SELECT ts.train_type
1674981797169000000,1674981797180065010,11065,t10,s1253,s9,ts-route-service,/api/v1/routeservice/routes/{routeId}
1674981798138000000,1674981798149106012,11106,t10,s1952,s1001,ts-route-service,/api/v1/routeservice/routes/{routeId}
1674981797170301500,1674981797179526909,9225,t10,s1171,s1253,ts-route-service,RouteController.queryById
1674981798139228582,1674981798148476923,9248,t10,s1276,s1952,ts-route-service,RouteController.queryById
1674981797171524605,1674981797177177846,5653,t10,s2245,s1171,ts-route-service,RouteRepository.findById
1674981798140430675,1674981798145954825,5524,t10,s1842,s1276,ts-route-service,RouteRepository.findById
1674981797173915128,1674981797175044762,1129,t10,s1523,s2245,ts-route-service,Session.find route.entity.Route
1674981797175104047,1674981797176429225,1325,t10,s1549,s2245,ts-route-service,Transaction.commit
1674981798142823904,1674981798144118664,1294,t10,s2622,s1842,ts-route-service,Session.find route.entity.Route
1674981798144175141,1674981798145331827,1156,t10,s931,s1842,ts-route-service,Transaction.commit
1674981797174128847,1674981797174814114,685,t10,s2212,s1523,ts-route-service,SELECT ts.route
1674981797177631247,1674981797178355532,724,t10,s842,s1171,ts-route-service,SELECT ts.route_stations
1674981797178489463,1674981797179219398,729,t10,s1684,s1171,ts-route-service,SELECT ts.route_distances
1674981798143019602,1674981798143900550,880,t10,s123,s2622,ts-route-service,SELECT ts.route
1674981798146526549,1674981798147267805,741,t10,s851,s1276,ts-route-service,SELECT ts.route_stations
1674981798147409684,1674981798148111261,701,t10,s2589,s1276,ts-route-service,SELECT ts.route_distances
1674981797188000000,1674981797197664818,9664,t10,s2539,s130,ts-price-service,/api/v1/priceservice/prices/{routeId}/{trainType}
1674981797189334306,1674981797197121142,7786,t10,s356,s2539,ts-price-service,PriceController.query
